DATA_RILEVAZIONE,CODICE_PRODOTTO,NOME_PRODOTTO,PREZZO,ACCISA,IVA,NETTO,VARIAZIONE
2005-10-24,6,O.C. fluido BTZ,"698,92","166,84","63,54","468,54","-4,03"
2005-10-24,8,O.C. denso BTZ,"363,41","31,39",0,"332,02","-5,44"
2005-10-31,1,Benzina,"1.256,81",564,"209,47","483,34","-38,77"
2005-10-31,2,Gasolio auto,"1.169,02",413,"194,84","561,18","-39,13"
2005-10-31,5,GPL,"601,29","156,62","100,21","344,46","2,29"
2005-10-31,3,Gasolio riscaldamento,"1.123,6","403,21","187,27","533,12","-1,99"
2005-10-31,6,O.C. fluido BTZ,"698,32","166,84","63,48",468,"-0,6"
2005-10-31,8,O.C. denso BTZ,"361,23","31,39",0,"329,84","-2,18"
2005-11-07,1,Benzina,"1.255,08",564,"209,18","481,9","-1,73"
2005-11-07,2,Gasolio auto,"1.167,34",413,"194,56","559,78","-1,68"
2005-11-07,5,GPL,"604,47","156,62","100,74","347,11","3,18"
2005-11-07,3,Gasolio riscaldamento,"1.104,32","403,21","184,05","517,06","-19,28"
2005-11-07,6,O.C. fluido BTZ,"685,58","166,84","62,33","456,41","-12,74"
2005-11-07,8,O.C. denso BTZ,"343,69","31,39",0,"312,3","-17,54"
2005-11-14,1,Benzina,"1.245,95",564,"207,66","474,29","-9,13"
2005-11-14,2,Gasolio auto,"1.138,33",413,"189,72","535,61","-29,01"
2005-11-14,5,GPL,"606,56","156,62","101,09","348,85","2,09"
2005-11-14,3,Gasolio riscaldamento,"1.091,94","403,21","181,99","506,74","-12,38"
2005-11-14,6,O.C. fluido BTZ,"686,04","166,84","62,37","456,83","0,46"
2005-11-14,8,O.C. denso BTZ,"345,84","31,39",0,"314,45","2,15"
2005-11-21,1,Benzina,"1.226,62",564,"204,44","458,18","-19,33"
2005-11-21,2,Gasolio auto,"1.118,46",413,"186,41","519,05","-19,87"
2005-11-21,5,GPL,"625,92","156,62","104,32","364,98","19,36"
2005-11-21,3,Gasolio riscaldamento,"1.090,86","403,21","181,81","505,84","-1,08"
2005-11-21,6,O.C. fluido BTZ,"683,43","166,84","62,13","454,46","-2,61"
2005-11-21,8,O.C. denso BTZ,"351,99","31,39",0,"320,6","6,15"
2005-11-28,1,Benzina,"1.226,19",564,"204,36","457,83","-0,43"
2005-11-28,2,Gasolio auto,"1.118,46",413,"186,41","519,05",0
2005-11-28,5,GPL,629,"156,62","104,83","367,55","3,08"
2005-11-28,3,Gasolio riscaldamento,"1.074,63","403,21","179,1","492,32","-16,23"
2005-11-28,6,O.C. fluido BTZ,"687,79","166,84","62,53","458,42","4,36"
2005-11-28,8,O.C. denso BTZ,"337,54","31,39",0,"306,15","-14,45"
2005-12-05,1,Benzina,"1.207,21",564,"201,2","442,01","-18,98"
2005-12-05,2,Gasolio auto,"1.108,09",413,"184,68","510,41","-10,37"
2005-12-05,5,GPL,"636,75","156,62","106,13",374,"7,75"
2005-12-05,3,Gasolio riscaldamento,"1.084,77","403,21","180,79","500,77","10,14"
2005-12-05,6,O.C. fluido BTZ,"680,99","166,84","61,91","452,24","-6,8"
2005-12-05,8,O.C. denso BTZ,"328,18","31,39",0,"296,79","-9,36"
2005-12-12,1,Benzina,"1.214,49",564,"202,42","448,07","7,28"
2005-12-12,2,Gasolio auto,"1.114,85",413,"185,81","516,04","6,76"
2005-12-12,5,GPL,"636,75","156,62","106,13",374,0
2005-12-12,3,Gasolio riscaldamento,"1.087,86","403,21","181,31","503,34","3,09"
2005-12-12,6,O.C. fluido BTZ,"686,23","166,84","62,38","457,01","5,24"
2005-12-12,8,O.C. denso BTZ,"352,95","31,39",0,"321,56","24,77"
2005-12-19,1,Benzina,"1.228,03",564,"204,67","459,36","13,54"
2005-12-19,2,Gasolio auto,"1.128,36",413,"188,06","527,3","13,51"
2005-12-19,5,GPL,"637,51","156,62","106,25","374,64","0,76"
2005-12-19,3,Gasolio riscaldamento,"1.095,41","403,21","182,57","509,63","7,55"
2005-12-19,6,O.C. fluido BTZ,"690,18","166,84","62,74","460,6","3,95"
2005-12-19,8,O.C. denso BTZ,"351,14","31,39",0,"319,75","-1,81"
2006-01-02,1,Benzina,"1.217,22",564,"202,87","450,35","-10,81"
2006-01-02,2,Gasolio auto,"1.117,79",413,"186,3","518,49","-10,57"
2006-01-02,5,GPL,"637,51","156,62","106,25","374,64",0
2006-01-02,3,Gasolio riscaldamento,"1.083,07","403,21","180,51","499,35","-12,34"
2006-01-02,6,O.C. fluido BTZ,"678,95","166,84","61,72","450,39","-11,23"
2006-01-02,8,O.C. denso BTZ,"346,67","31,39",0,"315,28","-4,47"
2006-01-09,1,Benzina,"1.255,71",564,"209,28","482,43","38,49"
2006-01-09,2,Gasolio auto,"1.155,76",413,"192,63","550,13","37,97"
2006-01-09,5,GPL,664,"156,62","110,67","396,71","26,49"
2006-01-09,3,Gasolio riscaldamento,"1.107,53","403,21","184,59","519,73","24,46"
2006-01-09,6,O.C. fluido BTZ,"691,96","166,84","62,91","462,21","13,01"
2006-01-09,8,O.C. denso BTZ,"361,94","31,39",0,"330,55","15,27"
2006-01-16,1,Benzina,"1.259,7",564,"209,95","485,75","3,99"
2006-01-16,2,Gasolio auto,"1.157,03",413,"192,84","551,19","1,27"
2006-01-16,5,GPL,"669,73","156,62","111,62","401,49","5,73"
2006-01-16,3,Gasolio riscaldamento,"1.102,09","403,21","183,68","515,2","-5,44"
2006-01-16,6,O.C. fluido BTZ,"691,8","166,84","62,89","462,07","-0,16"
2006-01-16,8,O.C. denso BTZ,"361,72","31,39",0,"330,33","-0,22"
2006-01-23,1,Benzina,"1.260,08",564,"210,01","486,07","0,38"
2006-01-23,2,Gasolio auto,"1.156,96",413,"192,83","551,13","-0,07"
2006-01-23,5,GPL,"671,44","156,62","111,91","402,91","1,71"
2006-01-23,3,Gasolio riscaldamento,"1.116,32","403,21","186,05","527,06","14,23"
2006-01-23,6,O.C. fluido BTZ,"699,98","166,84","63,63","469,51","8,18"
2006-01-23,8,O.C. denso BTZ,"376,44","31,39",0,"345,05","14,72"
2006-01-30,1,Benzina,"1.260,32",564,"210,05","486,27","0,24"
2006-01-30,2,Gasolio auto,"1.157,35",413,"192,89","551,46","0,39"
2006-01-30,5,GPL,"675,35","156,62","112,56","406,17","3,91"
2006-01-30,3,Gasolio riscaldamento,"1.110,95","403,21","185,16","522,58","-5,37"
2006-01-30,6,O.C. fluido BTZ,"702,32","166,84","63,85","471,63","2,34"
